Record Number	Plant Species	Plant Genus	Plant Family	Mosquito species	Mosquito Species (grouping)	Country of the study	LatDD	LonDD	Number of species of plant studied	Number of attractive plants	Reason of plant selection	Methodology approach	Observation/experimental design	Control/No control	Measurements	Sex	Replicates	General purpose of the study	Detailed purpose of the study	Rick of bias of the study	Study ID	Year
1	Abelia chinensis 	Abelia	Caprifoliaceae	Culex pipiens pallens	Other Culex species	China	38.07325481	104.6911386	3	3	Present and abundant in the study sites	Lab	"Single choice, cold anthrone method"	Yes	"Content of glycogen, lipids and proteins in mosquitoes"	"Females, Males"	3	Study of floral odour attraction	Study of relationship of floral odour attraction and nutritional reward	High	Yu_2018_62	2018
2	Acacia macrostachya = Senegalia macrostachya	Acacia	Fabaceae	Aedes aegypti	Aedes aegypti	Mali	17.16814621	-4.346399842	7	5	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	6	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Sissoko_2019_71a	2019
3	Acacia raddiana = Vachellia tortilis subsp. raddiana	Acacia	Fabaceae	Anopheles sergentii	Anopheles sergentii	Israel	31.51354222	35.02792347	1	1	Present and abundant in the study sites	Field	"Mosquito mark-release-recapture, Cold anthrone method"		"Proportion of dyed mosquitoes, cold anthrone method"	"Females, Males"		Study of mosquito feeding habits	"Study of mosquito feeding habits, survival and fecundity depending on local vegetation"	High	Gu_2011_102	2011
4	Acacia raddiana = Vachellia tortilis subsp. raddiana	Acacia	Fabaceae	Anopheles sergentii 	Anopheles sergentii	Israel	31.51354222	35.02792347	1	1	Attractive in previous studies	Field	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	4	Application of mosquito nectar feeding in mosquito control	Application in mosquito control	High	M�ller_2006_168b	2006
5	Acacia raddiana = Vachellia tortilis subsp. raddiana	Acacia	Fabaceae	Aedes caspius	Other Aedes species	Israel	31.51354222	35.02792347	1	1	Attractive in previous studies	Field	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	4	Application of mosquito nectar feeding in mosquito control	Application in mosquito control	High	M�ller_2006_168b	2006
6	Acacia salicina	Acacia	Fabaceae	Aedes aegypti	Aedes aegypti	Mali	17.16814621	-4.346399842	7	5	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	6	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Sissoko_2019_71a	2019
7	Acacia saligna	Acacia	Fabaceae	Culex pipiens	Culex pipiens	Israel	31.51354222	35.02792347	10	3	Present and abundant in the study sites	Field	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	24	Application of mosquito nectar feeding in mosquito control	"Study of mosquito feeding habits, Application in mosquito control"	Low	Schlein_2008_13b	2008
8	Achillea millefolium	Achillea	Asteraceae	Aedes communis	Aedes communis	Sweden	62.73420986	17.06243199	8	6	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on nectar availability	High	Andersson_1990_104	1990
9	Achillea millefolium	Achillea	Asteraceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
10	Achillea millefolium	Achillea	Asteraceae	Aedes stimulans	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
11	Achillea millefolium	Achillea	Asteraceae	Aedes communis	Aedes communis	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
12	Achillea millefolium	Achillea	Asteraceae	Aedes canadensis	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
13	Achillea millefolium	Achillea	Asteraceae	Aedes cinereus	Aedes cinereus	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
14	Achillea millefolium	Achillea	Asteraceae	Aedes sticticus	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
15	Achillea millefolium	Achillea	Asteraceae	Aedes trivittatus	Aedes trivittatus	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
16	Achillea millefolium	Achillea	Asteraceae	Anopheles walkeri	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
17	Achillea millefolium	Achillea	Asteraceae	Anopheles earlei	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
18	Achillea millefolium	Achillea	Asteraceae	Aedes aurifer	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
